State,City,Crime_Type,Date,Time,Latitude,Longitude,Victim_Age,Victim_Gender
Karnataka,Mysuru,Cybercrime,2024-11-21,14:17:00,12.26869,76.63617,37.0,Female
Telangana,Hyderabad,Burglary,2022-04-07,23:44:00,17.44011,78.57415,63.0,Male
Tamil Nadu,Coimbatore,Theft,2021-10-09,07:55:00,11.04032,76.96804,22.0,Male
Karnataka,Mysuru,Theft,2021-07-01,17:03:00,12.30197,76.62234,38.0,Female
West Bengal,Howrah,Assault,2024-04-27,12:44:00,22.57435,88.27249,63.0,Male
Delhi,Rohini,Burglary,2021-08-16,22:24:00,28.72311,77.03363,20.0,Female
Maharashtra,Mumbai,Kidnapping,2023-02-23,20:48:00,19.04269,72.86285,64.0,Female
Telangana,Warangal,Fraud,2023-09-04,19:32:00,17.98258,79.63814,60.0,Male
Telangana,Hyderabad,Cybercrime,2021-04-02,03:26:00,17.39484,78.53882,41.0,Male
Karnataka,Mysuru,Burglary,2022-06-11,04:41:00,12.28497,76.678,51.0,Female
Telangana,Hyderabad,Burglary,2022-07-26,20:29:00,17.40984,78.4781,50.0,Female
Uttar Pradesh,Lucknow,Robbery,2022-01-06,14:41:00,26.84128,80.98114,49.0,Male
West Bengal,Howrah,Theft,2023-12-20,03:57:00,22.58045,88.30834,67.0,Male
Telangana,Warangal,Kidnapping,2024-02-07,17:35:00,17.95787,79.60336,22.0,Female
Maharashtra,Pune,Assault,2023-07-20,18:55:00,18.56849,73.7941,58.0,Male
Gujarat,Surat,Theft,2021-09-03,,,,,Female
Uttar Pradesh,Kanpur,Domestic Violence,2024-10-18,06:47:00,26.44457,80.32642,35.0,Female
Delhi,New Delhi,Assault,2024-09-11,03:43:00,28.59169,77.18433,34.0,Female
West Bengal,Kolkata,Assault,2023-12-01,17:50:00,22.58962,88.43383,67.0,Female
Uttar Pradesh,Lucknow,Vehicle Theft,2021-01-19,13:00:00,26.88629,80.89793,38.0,Male
Gujarat,Ahmedabad,Assault,2021-04-14,22:44:00,22.98062,72.5017,57.0,Male
Gujarat,Surat,Fraud,2022-01-03,15:59:00,21.15013,72.83515,49.0,Male
Uttar Pradesh,Noida,Theft,2021-03-13,03:51:00,28.55962,77.37919,57.0,Male
Uttar Pradesh,Noida,Theft,2021-02-02,19:36:00,28.49611,77.34653,30.0,Female
Delhi,New Delhi,Fraud,2024-12-04,18:50:00,28.65383,77.20693,53.0,Male
Maharashtra,Nagpur,robbery,2023-07-18,02:51:00,21.12817,79.04358,17.0,Male
Maharashtra,Mumbai,Robbery,2023-12-21,14:30:00,19.04478,72.89124,17.0,Male
Gujarat,Ahmedabad,Theft,2023-05-03,18:11:00,22.99091,72.55137,44.0,Female
Karnataka,Mysuru,Vehicle Theft,2022-02-07,22:32:00,12.25069,76.67102,31.0,Male
Uttar Pradesh,Kanpur,Theft,2024-06-14,16:24:00,26.50753,80.39331,68.0,Male
Gujarat,Ahmedabad,Burglary,2023-06-22,14:24:00,23.03242,72.546,49.0,Female
Delhi,Rohini,Burglary,2023-12-01,07:25:00,28.80412,77.10018,20.0,Female
Karnataka,Mysuru,Robbery,2023-08-16,15:36:00,12.28482,76.67092,32.0,Male
Tamil Nadu,Coimbatore,Assault,2023-12-14,19:44:00,11.01975,76.97242,61.0,Female
Uttar Pradesh,Kanpur,Fraud,2021-04-15,20:23:00,26.46737,80.35097,42.0,Female
Telangana,Warangal,Burglary,2021-07-10,11:10:00,18.00607,79.53906,64.0,Male
Tamil Nadu,Coimbatore,Fraud,2022-05-20,03:14:00,10.97192,76.86606,48.0,Female
Gujarat,Ahmedabad,Fraud,2024-06-09,18:41:00,22.97617,72.56208,65.0,Female
Karnataka,Bengaluru,Theft,2024-07-13,03:42:00,12.99793,77.64287,24.0,Female
West Bengal,Kolkata,Vandalism,2024-08-04,12:26:00,22.55972,88.40765,60.0,Female
Maharashtra,Pune,Assault,2024-02-09,04:14:00,18.53357,73.80903,64.0,Male
Karnataka,Bengaluru,Vehicle Theft,2022-09-14,00:05:00,12.92041,77.56921,61.0,Female
West Bengal,Howrah,Cybercrime,2024-10-17,01:43:00,22.61721,88.28288,35.0,Female
Telangana,Hyderabad,Fraud,2022-09-24,08:30:00,17.37579,78.46439,21.0,Female
Tamil Nadu,Chennai,Vehicle Theft,2024-07-14,02:01:00,13.09303,80.27153,36.0,Male
Delhi,New Delhi,Theft,2022-04-01,14:55:00,28.63045,77.21464,22.0,Female
West Bengal,Kolkata,Burglary,2021-09-15,15:42:00,22.61309,88.40144,68.0,Female
Telangana,Warangal,Robbery,2024-04-27,14:46:00,17.94584,79.61543,42.0,Female
Telangana,Hyderabad,Vehicle Theft,2024-08-12,23:06:00,17.39247,78.54164,69.0,Female
Uttar Pradesh,Kanpur,Theft,2022-04-02,12:46:00,26.43338,80.35538,62.0,Male
Karnataka,Mysuru,Assault,2021-10-18,02:13:00,12.2759,76.65523,45.0,Male
Telangana,Hyderabad,Assault,2021-12-02,08:06:00,17.39206,78.44429,51.0,Female
Maharashtra,Nagpur,Robbery,2022-10-11,01:54:00,21.18954,79.07478,27.0,Male
Maharashtra,Nagpur,Cybercrime,2023-07-01,18:24:00,21.13365,79.12888,29.0,Male
Tamil Nadu,Coimbatore,Assault,2024-11-25,07:42:00,11.00769,76.94641,47.0,Female
Gujarat,Surat,Theft,2021-09-10,10:43:00,21.19098,72.89258,50.0,Male
Telangana,Hyderabad,Theft,2021-07-06,23:51:00,17.33308,78.49193,53.0,Male
Gujarat,Ahmedabad,Theft,2022-02-10,01:04:00,23.04062,72.58058,31.0,Male
Gujarat,Surat,Assault,2022-06-24,23:57:00,21.14293,72.82073,56.0,Male
Gujarat,Ahmedabad,Burglary,2021-11-25,07:31:00,22.94606,72.59455,49.0,Female
Maharashtra,Mumbai,Burglary,2022-04-05,03:20:00,19.08755,72.88961,63.0,Male
Telangana,Warangal,Assault,2024-11-13,22:59:00,17.96236,79.58094,40.0,Male
Delhi,Dwarka,Theft,2022-08-09,22:46:00,28.58463,77.07456,43.0,Female
Gujarat,Surat,Theft,2021-01-07,13:03:00,21.14255,72.82497,58.0,Male
Maharashtra,Mumbai,Theft,2023-05-21,01:53:00,19.04868,72.89376,53.0,Male
Tamil Nadu,Chennai,theft,2022-04-04,09:51:00,13.08264,80.26368,30.0,Male
Maharashtra,Mumbai,Assault,2023-10-13,20:31:00,19.10984,72.80858,29.0,Female
Tamil Nadu,Coimbatore,Burglary,2023-09-09,,,,,Female
Delhi,New Delhi,Theft,2022-02-01,22:05:00,28.63733,77.23321,15.0,Male
Maharashtra,Nagpur,Burglary,2023-02-16,05:35:00,21.0902,79.09097,30.0,Female
West Bengal,Howrah,Theft,2024-10-27,,,,,Female
West Bengal,Howrah,Assault,2024-09-22,03:19:00,22.61519,88.27628,31.0,Male
West Bengal,Kolkata,Burglary,2024-01-24,00:44:00,22.57551,88.34731,34.0,Female
Uttar Pradesh,Noida,Robbery,2023-10-09,02:53:00,28.57552,77.39136,57.0,Male
Uttar Pradesh,Noida,Theft,2024-07-04,23:15:00,28.53261,77.44493,15.0,Female
West Bengal,Kolkata,domestic violence,2021-02-24,09:32:00,22.54053,88.35947,54.0,Male
Tamil Nadu,Coimbatore,Burglary,2022-08-27,20:11:00,11.04687,76.98678,15.0,Female
Telangana,Warangal,Cybercrime,2022-03-15,12:23:00,17.98938,79.63262,56.0,Female
Karnataka,Mysuru,Vandalism,2021-06-25,12:56:00,12.27766,76.64659,15.0,Male
Tamil Nadu,Coimbatore,Domestic Violence,2021-08-11,03:40:00,11.0252,76.92082,29.0,Male
Uttar Pradesh,Lucknow,Fraud,2024-11-07,05:20:00,26.79114,80.94687,40.0,Female
Tamil Nadu,Chennai,Robbery,2023-08-20,12:46:00,13.12984,80.23617,57.0,Female
Uttar Pradesh,Noida,Fraud,2023-02-01,04:25:00,28.52492,77.44815,55.0,Female
Tamil Nadu,Coimbatore,Domestic Violence,2023-08-11,15:19:00,11.11237,76.98054,36.0,Male
Maharashtra,Pune,Kidnapping,2023-06-02,04:20:00,18.52836,73.85642,35.0,Male
Delhi,New Delhi,Burglary,2023-01-26,17:14:00,28.57073,77.20725,47.0,Female
Karnataka,Bengaluru,Theft,2024-03-13,12:03:00,12.9696,77.60237,40.0,Male
Tamil Nadu,Chennai,Cybercrime,2024-09-14,21:06:00,13.08263,80.26337,32.0,Female
Karnataka,Mysuru,Domestic Violence,2021-12-17,23:21:00,12.2622,76.64767,67.0,Female
Karnataka,Bengaluru,Theft,2023-10-23,17:37:00,12.95427,77.58175,19.0,Male
Tamil Nadu,Chennai,Fraud,2022-08-15,17:44:00,13.03693,80.28169,31.0,Male
Telangana,Hyderabad,theft,2024-08-26,09:07:00,17.37824,78.44869,36.0,Male
Delhi,Rohini,Theft,2023-05-02,10:11:00,28.77562,77.10173,28.0,Female
Telangana,Warangal,Vehicle Theft,2022-09-07,07:14:00,17.96846,79.56799,19.0,Female
Maharashtra,Nagpur,Vehicle Theft,2022-06-13,12:23:00,21.13903,79.09027,44.0,Male
Delhi,New Delhi,Vehicle Theft,2024-11-26,03:09:00,28.63169,77.17447,24.0,Male
Telangana,Hyderabad,Theft,2021-12-01,07:54:00,17.42101,78.49568,48.0,Female
West Bengal,Howrah,Vandalism,2021-02-23,19:44:00,22.5443,88.27655,60.0,Female
Uttar Pradesh,Kanpur,Theft,2024-05-02,19:39:00,26.44894,80.34324,49.0,Female
Delhi,New Delhi,Assault,2024-04-18,18:00:00,28.57306,77.20133,63.0,Male
Tamil Nadu,Chennai,Theft,2022-02-22,15:29:00,13.1015,80.24001,36.0,Male
Uttar Pradesh,Noida,Cybercrime,2022-08-17,01:28:00,28.5489,77.34508,45.0,Male
Maharashtra,Nagpur,Fraud,2023-01-27,10:17:00,21.13692,79.07352,64.0,Male
Karnataka,Bengaluru,Assault,2024-09-20,09:24:00,12.98158,77.617,47.0,Female
Uttar Pradesh,Noida,Assault,2021-08-11,08:41:00,28.55402,77.39109,37.0,Female
Maharashtra,Mumbai,Cybercrime,2023-09-18,,,,,Female
Gujarat,Surat,Burglary,2024-09-05,03:52:00,21.1599,72.84959,30.0,Male
Uttar Pradesh,Noida,Theft,2024-12-15,13:42:00,28.52407,77.32559,56.0,Male
Karnataka,Mysuru,Burglary,2023-12-15,09:26:00,12.30955,76.62316,52.0,Female
Gujarat,Surat,Assault,2023-03-26,20:51:00,21.14136,72.86022,53.0,Male
Tamil Nadu,Coimbatore,Burglary,2024-03-11,21:57:00,10.98833,76.96813,65.0,Male
Uttar Pradesh,Noida,Fraud,2024-02-13,15:27:00,28.57916,77.3955,49.0,Male
Karnataka,Bengaluru,Vehicle Theft,2022-05-08,05:39:00,13.00497,77.57467,59.0,Male
Maharashtra,Mumbai,Fraud,2022-02-23,05:08:00,19.07009,72.84356,21.0,Male
Tamil Nadu,Coimbatore,Theft,2024-02-01,10:24:00,10.9994,76.99806,49.0,Female
Maharashtra,Nagpur,fraud,2021-03-08,11:53:00,21.13375,79.04606,54.0,Female
West Bengal,Kolkata,Assault,2023-07-07,12:17:00,22.57841,88.34432,52.0,Male
Gujarat,Ahmedabad,Theft,2023-09-20,02:58:00,23.06026,72.6049,24.0,Male
Delhi,New Delhi,Cybercrime,2024-05-09,18:40:00,28.59016,77.24811,60.0,Male
Karnataka,Bengaluru,Fraud,2023-03-14,05:53:00,12.97406,77.59637,65.0,Male
Karnataka,Bengaluru,Vehicle Theft,2022-01-14,01:13:00,12.94851,77.58693,15.0,Male
Maharashtra,Pune,Fraud,2023-05-05,00:08:00,18.45708,73.82917,45.0,Female
Tamil Nadu,Coimbatore,Theft,2022-05-15,17:35:00,11.01812,76.95234,29.0,Female
Telangana,Warangal,Assault,2022-05-06,15:12:00,17.97844,79.6147,56.0,Male
Karnataka,Bengaluru,Theft,2021-10-02,09:41:00,12.97918,77.57716,69.0,Male
Tamil Nadu,Coimbatore,Domestic Violence,2022-12-27,22:52:00,10.97447,76.91939,41.0,Female
Gujarat,Ahmedabad,Robbery,2021-07-21,13:23:00,23.07705,72.55865,60.0,Female
Maharashtra,Nagpur,Vehicle Theft,2023-08-08,06:25:00,21.14345,79.03999,34.0,Female
Delhi,Dwarka,Burglary,2021-07-05,07:27:00,28.56799,77.06499,46.0,Male
Maharashtra,Mumbai,Domestic Violence,2021-10-18,18:10:00,19.07177,72.92295,60.0,Male
Telangana,Warangal,Theft,2022-03-13,14:27:00,17.9502,79.63855,25.0,Female
Maharashtra,Pune,Assault,2021-07-05,01:08:00,18.50048,73.83577,33.0,Male
Delhi,New Delhi,Assault,2022-04-26,14:25:00,28.60842,77.18759,26.0,Female
Maharashtra,Nagpur,Theft,2021-06-17,09:07:00,21.18575,79.08667,20.0,Female
Uttar Pradesh,Kanpur,Vandalism,2022-01-06,09:03:00,26.4317,80.34779,32.0,Female
Telangana,Warangal,Vandalism,2021-04-14,12:29:00,17.90946,79.5966,59.0,Male
Telangana,Warangal,Theft,2023-04-06,04:58:00,18.01631,79.56396,20.0,Female
Karnataka,Mysuru,Assault,2022-10-18,09:55:00,12.24077,76.63385,57.0,Male
Karnataka,Bengaluru,Vehicle Theft,2022-06-08,15:21:00,12.95215,77.61723,45.0,Male
Tamil Nadu,Coimbatore,Theft,2021-07-20,23:23:00,11.04087,76.94159,56.0,Female
West Bengal,Kolkata,Fraud,2024-12-05,14:06:00,22.61911,88.40748,51.0,Female
Tamil Nadu,Chennai,Vehicle Theft,2024-12-01,14:02:00,13.1316,80.28091,19.0,Male
Karnataka,Mysuru,Fraud,2021-06-06,11:27:00,12.30251,76.59921,15.0,Female
Gujarat,Surat,Vehicle Theft,2022-01-08,16:09:00,21.15816,72.76712,26.0,Female
Delhi,Rohini,Vandalism,2024-11-23,04:55:00,28.7476,77.00447,47.0,Male
Telangana,Warangal,Vehicle Theft,2022-08-27,17:36:00,18.01499,79.51066,22.0,Male
Delhi,New Delhi,Fraud,2021-11-02,06:42:00,28.66909,77.20291,31.0,Female
West Bengal,Howrah,Robbery,2022-07-05,15:40:00,22.59533,88.21611,22.0,Male
West Bengal,Kolkata,vehicle theft,2024-03-13,03:34:00,22.51666,88.33176,25.0,Female
Gujarat,Ahmedabad,Fraud,2022-05-27,05:04:00,23.04274,72.65232,63.0,Female
Karnataka,Bengaluru,Assault,2022-01-06,12:22:00,13.0403,77.60381,69.0,Male
Uttar Pradesh,Kanpur,Domestic Violence,2022-05-02,07:56:00,26.41024,80.34158,15.0,Female
Gujarat,Ahmedabad,Vehicle Theft,2021-11-24,13:42:00,23.01167,72.59849,36.0,Male
Gujarat,Ahmedabad,Theft,2022-07-08,04:57:00,23.06286,72.60837,22.0,Female
West Bengal,Howrah,Vandalism,2023-11-10,22:37:00,22.60694,88.27968,21.0,Male
West Bengal,Howrah,Vandalism,2024-06-20,18:28:00,22.58648,88.25806,30.0,Male
Delhi,Dwarka,Theft,2023-01-16,18:43:00,28.57184,77.09032,39.0,Male
Maharashtra,Mumbai,Theft,2021-04-27,19:13:00,19.07053,72.89427,62.0,Female
Maharashtra,Mumbai,Theft,2022-02-26,01:08:00,19.09684,72.88468,25.0,Male
West Bengal,Howrah,Theft,2023-07-22,20:37:00,22.54896,88.30083,22.0,Male
Maharashtra,Mumbai,Burglary,2022-06-17,22:50:00,19.06948,72.87072,35.0,Male
Delhi,Dwarka,Cybercrime,2022-03-19,03:26:00,28.61963,77.06564,64.0,Male
Uttar Pradesh,Noida,Theft,2024-02-16,11:31:00,28.5325,77.3778,43.0,Male
Gujarat,Ahmedabad,Vehicle Theft,2022-12-12,23:04:00,22.98128,72.61416,54.0,Female
West Bengal,Kolkata,Vandalism,2021-06-14,21:16:00,22.56323,88.3793,41.0,Female
Uttar Pradesh,Noida,Assault,2024-06-18,04:51:00,28.53772,77.44456,38.0,Female
Telangana,Warangal,vandalism,2023-05-17,10:37:00,17.97921,79.55541,59.0,Male
Tamil Nadu,Coimbatore,Robbery,2021-05-04,,,,,Female
Uttar Pradesh,Lucknow,Theft,2021-12-22,03:16:00,26.8605,80.9629,25.0,Male
Gujarat,Surat,robbery,2024-11-05,18:21:00,21.12881,72.84085,36.0,Male
Delhi,New Delhi,Theft,2023-07-23,16:08:00,28.58088,77.21868,18.0,Female
Uttar Pradesh,Lucknow,Assault,2024-06-23,06:14:00,26.88675,80.95591,27.0,Male
Karnataka,Bengaluru,Burglary,2024-10-05,07:11:00,12.97304,77.61044,30.0,Female
Karnataka,Mysuru,Burglary,2022-07-21,01:55:00,12.33436,76.62954,16.0,Female
West Bengal,Howrah,Cybercrime,2022-11-23,21:30:00,22.62837,88.29896,58.0,Female
Maharashtra,Pune,Vehicle Theft,2022-06-11,10:34:00,18.54944,73.82106,69.0,Male
Uttar Pradesh,Lucknow,Fraud,2021-11-21,23:40:00,26.83917,80.9712,63.0,Male
Tamil Nadu,Coimbatore,Cybercrime,2022-08-26,10:20:00,10.9929,76.97154,26.0,Male
Delhi,New Delhi,Theft,2023-12-21,09:03:00,28.59515,77.18714,60.0,Female
Delhi,New Delhi,Burglary,2024-12-25,18:08:00,28.5895,77.1746,38.0,Male
Gujarat,Ahmedabad,Vandalism,2023-04-01,10:59:00,23.02375,72.5644,38.0,Female
Telangana,Warangal,Fraud,2022-11-06,16:00:00,18.00886,79.52757,63.0,Male
Delhi,New Delhi,Vehicle Theft,2023-10-21,02:08:00,28.56537,77.13867,36.0,Male
Delhi,New Delhi,Assault,2021-06-13,17:51:00,28.60878,77.18711,22.0,Female
Delhi,Dwarka,Assault,2021-12-02,05:59:00,28.59035,77.07998,55.0,Male
Tamil Nadu,Chennai,Theft,2021-05-13,05:17:00,13.08886,80.26347,44.0,Female
Uttar Pradesh,Lucknow,Burglary,2021-04-08,03:01:00,26.86296,81.03343,66.0,Male
Telangana,Warangal,Theft,2022-02-05,18:38:00,18.00086,79.62927,36.0,Female
West Bengal,Howrah,Fraud,2021-03-15,01:51:00,22.5594,88.23808,62.0,Female
Telangana,Warangal,Fraud,2021-02-26,02:43:00,18.00721,79.59425,25.0,Female
Gujarat,Surat,Fraud,2021-09-17,06:25:00,21.12524,72.8326,21.0,Female
West Bengal,Howrah,Assault,2023-10-22,23:54:00,22.63419,88.27909,30.0,Female
Karnataka,Mysuru,Theft,2022-10-13,23:00:00,12.29886,76.71061,54.0,Male
Karnataka,Bengaluru,Vehicle Theft,2023-01-27,05:05:00,12.97772,77.59406,20.0,Male
West Bengal,Howrah,Assault,2023-12-13,21:46:00,22.58918,88.21455,31.0,Male
West Bengal,Kolkata,Fraud,2023-12-01,10:13:00,22.54224,88.34787,48.0,Male
Tamil Nadu,Chennai,Assault,2024-11-21,00:50:00,13.10919,80.25396,36.0,Male
Uttar Pradesh,Kanpur,Domestic Violence,2022-03-21,17:53:00,26.41153,80.34331,37.0,Female
Telangana,Hyderabad,Burglary,2022-01-10,23:26:00,17.38924,78.41724,54.0,Female
West Bengal,Kolkata,Assault,2022-01-18,07:12:00,22.56808,88.34657,18.0,Male
Gujarat,Surat,theft,2022-12-05,21:40:00,21.15415,72.84919,65.0,Male
Delhi,New Delhi,Theft,2021-05-02,01:59:00,28.64782,77.21193,44.0,Female
Uttar Pradesh,Kanpur,Fraud,2021-08-12,21:18:00,26.44257,80.28774,50.0,Male
Tamil Nadu,Coimbatore,Assault,2022-01-05,10:47:00,11.02034,76.94334,56.0,Male
Telangana,Warangal,Burglary,2024-09-18,20:52:00,17.98741,79.57925,19.0,Female
Delhi,Dwarka,Domestic Violence,2023-02-08,23:34:00,28.62498,77.06486,30.0,Female
Tamil Nadu,Coimbatore,cybercrime,2024-02-09,16:37:00,10.9981,76.92329,52.0,Female
Tamil Nadu,Chennai,Theft,2022-12-07,07:26:00,13.16729,80.25646,17.0,Female
Gujarat,Ahmedabad,Vehicle Theft,2021-08-20,22:55:00,23.02932,72.53736,42.0,Female
Uttar Pradesh,Lucknow,Vehicle Theft,2021-09-14,12:55:00,26.86763,80.98239,68.0,Female
West Bengal,Kolkata,Theft,2022-03-04,02:35:00,22.58122,88.35498,15.0,Female
Uttar Pradesh,Noida,Vehicle Theft,2021-12-05,02:56:00,28.52171,77.38981,25.0,Male
Tamil Nadu,Coimbatore,Assault,2022-10-05,05:14:00,11.01698,76.95619,64.0,Male
Telangana,Hyderabad,Burglary,2024-09-08,08:15:00,17.39011,78.47314,56.0,Female
Maharashtra,Nagpur,Vehicle Theft,2022-08-20,20:24:00,21.18265,79.10734,66.0,Female
Telangana,Hyderabad,Assault,2022-03-27,10:59:00,17.37821,78.50942,67.0,Male
Maharashtra,Mumbai,Vehicle Theft,2021-07-05,12:34:00,19.06824,72.92135,50.0,Female
Karnataka,Bengaluru,Theft,2022-06-06,12:51:00,12.93169,77.53287,20.0,Female
Gujarat,Surat,Theft,2024-04-04,04:15:00,21.16102,72.85116,51.0,Male
Maharashtra,Nagpur,Theft,2023-01-23,02:09:00,21.10409,79.10767,52.0,Male
Tamil Nadu,Chennai,Fraud,2023-11-04,00:32:00,13.10336,80.25888,24.0,Female
Delhi,Rohini,Cybercrime,2021-02-20,04:35:00,28.71407,77.01215,45.0,Male
Gujarat,Ahmedabad,Assault,2023-03-20,01:06:00,23.0093,72.57404,34.0,Male
Tamil Nadu,Coimbatore,Cybercrime,2023-08-21,12:48:00,11.03329,76.98574,62.0,Male
West Bengal,Howrah,Burglary,2021-01-24,05:34:00,22.60959,88.2495,40.0,Male
Telangana,Warangal,Theft,2024-08-26,12:01:00,17.99657,79.55917,43.0,Male
Telangana,Warangal,Vandalism,2021-11-07,23:11:00,17.99456,79.50649,45.0,Male
West Bengal,Howrah,Assault,2023-08-16,12:09:00,22.55201,88.23019,53.0,Female
Delhi,Rohini,Vehicle Theft,2023-07-15,07:55:00,28.71548,77.09299,68.0,Female
Delhi,Dwarka,Assault,2021-08-26,12:44:00,28.5515,77.09413,51.0,Male
Delhi,Rohini,Burglary,2023-08-13,22:07:00,28.70916,77.00159,29.0,Female
Delhi,Dwarka,Cybercrime,2021-11-10,07:04:00,28.65203,77.04769,22.0,Male
West Bengal,Kolkata,Fraud,2023-07-09,20:02:00,22.53692,88.35541,39.0,Male
Maharashtra,Pune,Vehicle Theft,2024-04-04,06:09:00,18.49797,73.87055,44.0,Male
Tamil Nadu,Chennai,Assault,2023-05-15,12:16:00,13.08614,80.3209,30.0,Male
Karnataka,Bengaluru,Theft,2023-05-01,10:14:00,12.98566,77.59912,57.0,Female
Maharashtra,Pune,Vehicle Theft,2021-08-04,00:37:00,18.49698,73.83181,43.0,Female
Maharashtra,Mumbai,Kidnapping,2024-04-01,23:36:00,19.07864,72.88876,57.0,Female
West Bengal,Howrah,Kidnapping,2024-12-20,,,,,Female
Karnataka,Bengaluru,Theft,2024-01-13,02:50:00,12.98977,77.55606,23.0,Female
Karnataka,Bengaluru,Theft,2021-01-20,22:59:00,12.97016,77.57419,29.0,Female
Tamil Nadu,Chennai,Vehicle Theft,2024-12-27,,,,,Male
Delhi,New Delhi,Fraud,2024-05-09,12:54:00,28.5992,77.22878,68.0,Male
Maharashtra,Pune,Theft,2022-09-19,11:10:00,18.49019,73.86484,42.0,Male
Tamil Nadu,Chennai,Robbery,2022-06-18,08:06:00,13.10281,80.28494,61.0,Male
Gujarat,Ahmedabad,Theft,2022-07-14,13:07:00,23.10872,72.58199,31.0,Female
Gujarat,Surat,Cybercrime,2021-09-12,17:41:00,21.22167,72.83919,69.0,Male
West Bengal,Howrah,Theft,2023-06-17,08:00:00,22.61192,88.25712,29.0,Male
Gujarat,Ahmedabad,Burglary,2022-04-23,00:21:00,22.98442,72.56997,30.0,Male
Tamil Nadu,Coimbatore,Burglary,2022-04-03,14:01:00,10.98239,76.95975,47.0,Female
Karnataka,Mysuru,Vehicle Theft,2024-07-26,07:01:00,12.30085,76.65788,57.0,Male
Gujarat,Ahmedabad,Fraud,2022-09-22,18:18:00,22.99886,72.51676,65.0,Female
Tamil Nadu,Coimbatore,Theft,2022-08-04,00:40:00,11.00164,76.99703,57.0,Female
Telangana,Hyderabad,Burglary,2021-12-12,20:02:00,17.41234,78.49296,68.0,Male
Telangana,Hyderabad,Domestic Violence,2021-04-24,21:55:00,17.40165,78.48833,38.0,Male
Tamil Nadu,Chennai,Vehicle Theft,2022-01-05,18:21:00,13.06729,80.28267,41.0,Female
Gujarat,Ahmedabad,Vandalism,2021-10-14,23:34:00,23.01245,72.57847,61.0,Female
Delhi,New Delhi,Vehicle Theft,2024-04-08,03:55:00,28.69512,77.22083,36.0,Female
Karnataka,Bengaluru,Cybercrime,2021-10-01,01:30:00,12.96909,77.61594,43.0,Male
Maharashtra,Pune,Domestic Violence,2024-04-06,06:19:00,18.49572,73.87632,42.0,Male
